beta,gamma,rho,s_peak_height,s_auc,s_growth_rate,s_time_to_peak,s_total_rewires,s_rew_inf_ratio,s_var_degree,distance
0.2456865464999164,0.1861218124812996,0.0098499772739697,0.531,4.397,0.3118571554784631,5.4,10.8,0.0451977401129943,8.32936,2.354781151226703
0.358896671559988,0.0494741631547046,0.6826934524739512,0.8489999999999999,19.642,0.346853147215355,5.8,840.4,1.4558303886925796,11.50908,1.8547343878895644
0.1146816935290475,0.078877916512579,0.4807699740210533,0.3299999999999999,7.652999999999999,0.1185633445255345,12.4,768.0,1.1060606060606062,14.17886,3.2248554832296983
0.4602148209166631,0.124386292340888,0.0143258655347541,0.741,6.8629999999999995,0.1393482365069386,3.2,9.0,0.0350877192982456,10.03878,3.0985097147223635
0.1106147054860312,0.1895289611702513,0.1050365970631007,0.327,3.995,0.3331938316429338,8.8,189.4,0.3761467889908256,9.52096,2.0283499287154694
0.2373277667188327,0.1799898902643847,0.3784140586553111,0.437,4.627,0.3059366803210511,7.4,473.0,1.0480549199084668,11.191639999999998,1.4254611978473333
0.146359794504084,0.0740393375937087,0.0253675400024348,0.695,13.198,0.460018118962199,8.4,38.0,0.0748201438848921,8.998380000000001,1.948998829163634
0.073206981379883,0.0251361762012472,0.2400613814041711,0.8119999999999999,37.154999999999994,0.2989795805210201,16.8,822.6,0.5849753694581281,11.874620000000002,3.482982951650178
0.4865980308647729,0.0994535982712114,0.0238884165445203,0.779,9.116,0.179839424716273,3.2,14.6,0.0474967907573812,8.90204,2.914635262523184
0.3470981021205053,0.1747218895900488,0.3546704104930647,0.563,4.895000000000001,0.2909138579694899,5.4,344.0,0.911190053285968,9.56644,1.5038021250085647
0.0753782015783069,0.022270558101977,0.1436905832203345,0.8089999999999999,41.48,0.3080883200779721,15.6,459.0,0.3683559950556243,10.18722,3.5187928184469452
0.4569238423183372,0.1622607340328178,0.098242430320545,0.677,4.974,0.1295040746954679,3.6,67.6,0.2658788774002954,8.81538,3.0370568515236
0.2826389192661371,0.0692948772754523,0.6639730391610633,0.7270000000000001,13.095999999999998,0.3446740740787074,8.0,1026.6,1.420907840440165,14.55428,2.3126433014314856
0.255447395513471,0.12989213737545,0.5695179825383522,0.5660000000000001,6.691,0.2998154825333182,7.4,792.6,1.3180212014134272,12.99954,1.6676419995364558
0.1953252946502016,0.1462948542716266,0.7570024941435157,0.086,0.899,0.0077468435981582,4.4,247.0,4.4069767441860455,17.65346,6.3141131865702045
0.3525363448740806,0.039823676551385,0.0445237000345133,0.8480000000000001,23.656,0.2840366635387922,4.2,32.2,0.0825471698113207,8.607520000000001,2.7123158300784884
0.2049556347793098,0.1165960464157729,0.4006412625456458,0.598,7.661,0.3642642536383534,8.4,596.6,0.9448160535117056,11.762580000000002,0.7443497966429894
0.2254957877296116,0.1972122002305994,0.5132796634823922,0.336,3.662,0.205429573833252,7.6,725.0,1.6041666666666663,12.814600000000002,2.563800158346433
0.075944781811799,0.0483271841629536,0.3912838199094718,0.495,15.228,0.18078601449926,20.0,1113.8,0.901010101010101,14.516380000000002,4.0595684389317634
0.3962728596787819,0.1952932381206534,0.6832119275878917,0.54,4.3100000000000005,0.2420801618012535,5.4,754.8,1.7425925925925925,12.6787,2.2103928036027822
0.1693347470624927,0.1554343478721441,0.294681591304049,0.462,5.413,0.3103722224098866,8.0,469.8,0.91991341991342,10.99172,1.236576443948001
0.3625939598434135,0.0533554994646006,0.374848915017958,0.85,17.240999999999996,0.2986806648020806,4.8,371.4,0.7541176470588234,8.642100000000001,1.747981606228375
