beta,gamma,rho,distance,s_peak_height,s_auc,s_growth_rate,s_time_to_peak,n_draws_attempted
0.2586814531699761,0.08801716499088569,0.4603181186133246,0.561303645963761,0.665,9.513999999999998,0.3840069318309372,6.6,10000
0.1494173764079101,0.09142344302113237,0.3731031753098358,0.25889137610427004,0.625,9.993999999999998,0.36768646864124965,9.4,10000
0.16441343467621797,0.08267347464045194,0.10589490395456913,0.5832898572678588,0.647,11.463,0.4265419359137975,7.2,10000
0.18246853699287688,0.07992378314935669,0.40200737116099367,0.24657149981264204,0.639,11.673999999999998,0.3482656738703992,8.8,10000
0.3557675107315265,0.07042060135077821,0.7903779687336321,0.5095798125848652,0.728,12.678999999999997,0.3327472312443605,8.2,10000
0.16468125995266364,0.08502467397317015,0.44915651498275483,0.3034725750825613,0.6459999999999999,11.166999999999998,0.3457947616127385,9.4,10000
0.1646964770649001,0.07392530879531332,0.36153821037942446,0.24421506952268868,0.675,12.380999999999998,0.35426280906274965,9.2,10000
0.14727907735662102,0.11102793574801066,0.24350648209566528,0.5926269641236235,0.5509999999999999,7.586000000000001,0.3697562705854454,9.0,10000
0.18837211157557726,0.077178303107286,0.5284486832609037,0.5786220852741273,0.661,11.974999999999998,0.31536438193691,9.8,10000
0.13738684012120825,0.10092201806452417,0.19592065355583685,0.5518188436934718,0.557,8.538999999999998,0.3513216248773701,8.8,10000
0.1736678809571574,0.08393409057564631,0.21781005272928466,0.4389674824541979,0.6859999999999999,10.748,0.4048321876395473,7.4,10000
0.1567228728582575,0.11838464183683016,0.2109946711235777,0.4813267984803403,0.623,7.601999999999999,0.39136789478501927,7.8,10000
0.17960970935798204,0.10508161412869764,0.24899837498545035,0.494951343731131,0.6359999999999999,8.345,0.3837017023250857,7.2,10000
0.1491384539958682,0.0762777189110469,0.22389593954551668,0.2452248348770286,0.6759999999999999,12.695999999999998,0.39540352569601683,8.4,10000
0.3051620850523798,0.08458061405229841,0.6730228208287685,0.3729292310241769,0.6669999999999999,10.551999999999998,0.3344783168717134,8.4,10000
0.27759860284961,0.07491276107224426,0.684084806412666,0.39264152189542195,0.728,12.333999999999998,0.37597775290789176,7.8,10000
0.13724013149429704,0.09398318637385811,0.30656567579415656,0.48218338767329855,0.5810000000000001,8.899999999999999,0.34809321622093387,9.2,10000
0.1564611300297849,0.08601903630642481,0.27092639769204124,0.17172510024457463,0.639,10.76,0.39137531045922713,8.8,10000
0.1655074291133912,0.06304999803256495,0.2972418141665418,0.41050550804283353,0.709,14.601999999999999,0.39211210385025075,8.8,10000
0.256136982559002,0.06577608544356221,0.6128994521799012,0.55953980159932,0.754,13.740999999999996,0.3635826312333096,7.6,10000
0.10566426330916807,0.07899298346803588,0.07544627153656168,0.39944829642349283,0.628,11.841999999999999,0.39048535651219984,10.2,10000
0.12606480812806864,0.07838617229238772,0.23819804742364764,0.17190200520792534,0.6599999999999999,12.395999999999999,0.3855268575231712,9.2,10000
0.15581339372973438,0.11096920591504209,0.15222552461691896,0.5663367705562662,0.585,8.044,0.38671674927917216,7.4,10000
0.18366213838005632,0.08584458084085803,0.12326730878087977,0.5986723003145232,0.7,10.828999999999997,0.4004248317776768,6.6,10000
0.1531679332122141,0.08013398877303506,0.3402679579402259,0.45279053382256595,0.608,10.799999999999997,0.3400350228443658,9.8,10000
0.2628062533923298,0.08324616257965888,0.5656208069688075,0.37912217824892597,0.725,11.572,0.3667601489988582,7.8,10000
0.14874616383890527,0.06535764093728871,0.3542112313416979,0.330645905743465,0.717,13.432999999999998,0.3729390825758771,9.0,10000
0.23177886269922687,0.09302197443540972,0.5300411770869523,0.5633235082351611,0.6759999999999999,9.989999999999998,0.33036754004740737,7.2,10000
0.17683880624230908,0.07985311483773731,0.3650781857384522,0.047085278674512364,0.649,11.105999999999998,0.37592698932818636,8.8,10000
0.2786829362155863,0.08317368151771529,0.5365118334640774,0.3873648379474887,0.6970000000000001,10.623999999999999,0.3655115040975716,7.4,10000
0.16025879365645096,0.10074418896296809,0.3579647254494018,0.2865081947694002,0.6180000000000001,9.190999999999999,0.36606478793113995,8.6,10000
0.12581982010011827,0.0609055920390243,0.22378937656534134,0.5160918394137057,0.711,15.616,0.37195528607742095,9.6,10000
0.11900144922067891,0.07110574221721934,0.22728785166863139,0.4890001930277285,0.682,13.623,0.402633085600623,10.2,10000
0.24604101182797553,0.06632298185128535,0.5972203212811266,0.5814488221210761,0.7470000000000001,13.996999999999996,0.3353102820762761,8.4,10000
0.2089929002426967,0.11215897102952645,0.4067143525101775,0.5077621215520071,0.6,7.904999999999999,0.38169710871547846,7.6,10000
0.1387880486444657,0.07033903120680501,0.27035976336574724,0.38841479605254664,0.6479999999999999,12.981,0.35419874031021903,10.0,10000
0.09178933094014728,0.07572416816341065,0.07798349109060237,0.41653248568336665,0.657,12.471999999999998,0.37880948562519146,10.4,10000
0.15128974622163288,0.06573879319425666,0.2434691654104018,0.28830554628620764,0.6990000000000001,13.233999999999998,0.3910725620164401,8.8,10000
0.24063090838699863,0.08158342890905693,0.3750969093745501,0.514674704521765,0.6990000000000001,10.737999999999996,0.3814220068683679,6.8,10000
0.12229370298302977,0.09861426964774885,0.030039839596214438,0.3651899612253537,0.594,9.032,0.3816844028470038,9.0,10000
0.189331151558853,0.11311067432164904,0.35008683829166565,0.4142100148393764,0.644,7.919,0.3969436185455959,8.2,10000
0.20419282634946018,0.06735688977323744,0.606967062022786,0.5385584813658069,0.666,14.577999999999998,0.3303447036539512,9.6,10000
0.17840346719990163,0.10826712611080369,0.190741133276277,0.5490164711327912,0.592,8.081999999999999,0.3871405497004483,7.4,10000
0.18137199325193823,0.07258010995647743,0.46704789527465823,0.3609245994245537,0.6880000000000001,13.465999999999998,0.36575143949805533,9.8,10000
0.2514057354099962,0.09400878103871156,0.5123551049448593,0.5559434281234594,0.6739999999999999,9.243999999999998,0.353824828383327,6.8,10000
0.2322287267481506,0.11923829251581729,0.44627699664081666,0.5684136877859448,0.6140000000000001,7.5329999999999995,0.36786591353454434,7.2,10000
0.3163141398229589,0.09185379718844969,0.6256692622277324,0.608045121132811,0.6819999999999999,9.267999999999999,0.35177263941415815,6.6,10000
0.08972725297791609,0.06459694150954237,0.038099597811942235,0.5144661643143893,0.669,14.37,0.39008247218262915,10.4,10000
0.18168010527884884,0.0733498602877878,0.505877103924507,0.5341081354602797,0.677,12.401999999999997,0.3179608342135044,9.4,10000
0.1415951071318305,0.08725452977967948,0.07810196284495002,0.4630466451146513,0.659,10.443,0.4165834086609742,7.6,10000
0.15048761176194894,0.10286308290210562,0.21826595368759316,0.37796856185060446,0.599,8.621,0.3744436532784328,8.4,10000
0.25976983777086743,0.11380336847608086,0.5414540122896419,0.5282933883380128,0.6210000000000001,7.615,0.3632683082515986,7.4,10000
0.21632108876650982,0.1045510773889765,0.2676121393757991,0.5935898862437091,0.658,8.598,0.38184893873850434,6.6,10000
